rem,in,out
12,47.65,5.57
11,42.08,4.21
10,37.87,3.95
9,33.92,0.37
8,33.55,2.5
7,31.05,8.36
6,22.69,3.82
5,18.87,2.98
4,15.89,0.94
3,14.95,9.52
2,5.43,4.55
15,60,1.39
14,58.61,8.29
13,50.32,4.13
12,46.19,3.78
11,42.41,2.56
10,39.85,1.91
9,37.94,0.45
8,37.49,7.14
7,30.35,0.77
6,29.58,5.53
5,24.05,0.48
4,23.57,4.19
3,19.38,8.59
2,10.79,8.34
15,60,7.68
14,52.32,6.73
13,45.59,2.73
12,42.86,0.35
11,42.51,1.92
10,40.59,1.73
9,38.86,4.8
8,34.06,5.36
7,28.7,4.97
6,23.73,5.7
5,18.03,1.93
4,16.1,0.4
3,15.7,9.32
2,6.38,4.94
15,60,3.33
14,56.67,3.95
13,52.72,0.48
12,52.24,2.03
11,50.21,0.45
10,49.76,1.38
9,48.38,9.66
8,38.72,3.21
7,35.51,9.99
6,25.52,6.06
5,19.46,1.16
4,18.3,8.88
3,9.42,2.94
2,6.48,2.82
15,60,3.79
14,56.21,5.74
13,50.47,5.76
12,44.71,5.77
11,38.94,5.55
10,33.39,1.55
9,31.84,2.15
8,29.69,0.82
7,28.87,0.41
6,28.46,5.55
5,22.91,4.71
4,18.2,4.23
3,13.97,1.21
2,12.76,8.08
15,60,2.55
14,57.45,4.46
13,52.99,2.91
12,50.08,3.12
11,46.96,7.96
10,39,1.26
9,37.74,0.78
8,36.96,1.12
7,35.84,9.38
6,26.46,7.76
5,18.7,5.17
4,13.53,2.19
3,11.34,6.29
2,5.05,1.95
15,60,3.08
14,56.92,6.72
13,50.2,2
12,48.2,5.63
11,42.57,4.79
10,37.78,6.66
9,31.12,5.21
8,25.91,0.46
7,25.45,0.57
6,24.88,0.48
5,24.4,8.3
4,16.1,6.4
3,9.7,1.74
2,7.96,1.27
15,60,1.29
14,58.71,7.19
13,51.52,2.3
12,49.22,5.28
11,43.94,6.91
10,37.03,5.71
9,31.32,0.74
8,30.58,5.58
7,25,3.8
6,21.2,5.66
5,15.54,5.97
4,9.57,3.88
3,5.69,0.45
2,5.24,0.83
15,60,6.54
14,53.46,7.29
13,46.17,6.73
12,39.44,4.27
11,35.17,4.78
10,30.39,5.75
9,24.64,4.42
8,20.22,2.69
7,17.53,0.53
6,17,3.3
5,13.7,1.13
4,12.57,0.31
3,12.26,0.77
2,11.49,6.73
15,60,0.4
14,59.6,0.42
13,59.18,1.14
12,58.04,3.89
11,54.15,4.1
10,50.05,2.83
9,47.22,8.27
8,38.95,3.36
7,35.59,8.31
6,27.28,3.92
5,23.36,4.98
4,18.38,2.72
3,15.66,7.13
2,8.53,0.42
15,60,4.72
14,55.28,3.68
13,51.6,1.47
12,50.13,3.31
11,46.82,4.94
10,41.88,0.68
9,41.2,2.58
8,38.62,2.5
7,36.12,0.87
6,35.25,3.8
5,31.45,3.96
4,27.49,13.67
3,13.82,3.33
2,10.49,4.16
15,60,7.68
14,52.32,4.36
13,47.96,5.96
12,42,6.11
11,35.89,2.13
10,33.76,4.32
9,29.44,1.28
8,28.16,5.54
7,22.62,5.68
6,16.94,2.41
5,14.53,1.3
4,13.23,5.85
3,7.38,4.24
2,3.14,2.26
15,60,1.56
14,58.44,3.51
13,54.93,6.82
12,48.11,2.12
11,45.99,7.63
10,38.36,7.44
9,30.92,0.84
8,30.08,2.81
7,27.27,7.71
6,19.56,5.04
5,14.52,2.35
4,12.17,2.71
3,9.46,1.01
2,8.45,8.43
15,60,5.49
14,54.51,2.58
13,51.93,2.38
12,49.55,5.47
11,44.08,3.28
10,40.8,7.23
9,33.57,2.88
8,30.69,2.07
7,28.62,0.4
6,28.22,1.78
5,26.44,3.36
4,23.08,10.15
3,12.93,3.99
2,8.94,0.48
15,60,7.21
14,52.79,0.37
13,52.42,5.45
12,46.97,6.13
11,40.84,5.77
10,35.07,1.42
9,33.65,5.2
8,28.45,7.02
7,21.43,1.24
6,20.19,4.33
5,15.86,0.74
4,15.12,7.24
3,7.88,4.39
2,3.49,0.39
15,60,6.28
14,53.72,4.92
13,48.8,6.31
12,42.49,5.54
11,36.95,5.2
10,31.75,1.05
9,30.7,3.99
8,26.71,3.05
7,23.66,4.95
6,18.71,3.83
5,14.88,2.97
4,11.91,4.65
3,7.26,2.1
2,5.16,5.04
15,60,3.83
14,56.17,2.22
13,53.95,4.9
12,49.05,1.45
11,47.6,2.86
10,44.74,1.88
9,42.86,5.41
8,37.45,0.89
7,36.56,0.52
6,36.04,4.25
5,31.79,2.93
4,28.86,0.72
3,28.14,9.61
2,18.53,6.22
15,60,0.99
14,59.01,3.76
13,55.25,1.88
12,53.37,8.25
11,45.12,5.83
10,39.29,5.06
9,34.23,6.79
8,27.44,1.01
7,26.43,2.68
6,23.75,2.16
5,21.59,5.26
4,16.33,6.65
3,9.68,5.08
2,4.6,4.48
15,60,4.28
14,55.72,0.39
13,55.33,2.52
12,52.81,3.31
11,49.5,0.62
10,48.88,1.29
9,47.59,5.04
8,42.55,3.62
7,38.93,6.33
6,32.6,1.75
5,30.85,10.22
4,20.63,0.76
3,19.87,4.56
2,15.31,8.94
15,60,1.92
14,58.08,4.51
13,53.57,7.39
12,46.18,7.67
11,38.51,1.16
10,37.35,4.72
9,32.63,3.62
8,29.01,1.76
7,27.25,6.97
6,20.28,5.68
5,14.6,2.92
4,11.68,4.88
3,6.8,0.47
2,6.33,4.91
15,60,5.89
14,54.11,3.41
13,50.7,6.4
12,44.3,4.9
11,39.4,5.41
10,33.99,5.36
9,28.63,0.31
8,28.32,4.53
7,23.79,4.46
6,19.33,4.62
5,14.71,1.42
4,13.29,4.13
3,9.16,2.56
2,6.6,2.33
15,60,1.71
14,58.29,2.71
13,55.58,3.9
12,51.68,6.48
11,45.2,4.94
10,40.26,3.61
9,36.65,4.5
8,32.15,4.16
7,27.99,7.58
6,20.41,3.14
5,17.27,4
4,13.27,6.15
3,7.12,2.71
2,4.41,2.23
15,60,7.6
14,52.4,5.14
13,47.26,2.91
12,44.35,2.27
11,42.08,6.93
10,35.15,2.84
9,32.31,2.53
8,29.78,0.82
7,28.96,7.77
6,21.19,4.54
5,16.65,6.51
4,10.14,1.66
3,8.48,1.53
2,6.95,6
15,60,5.15
14,54.85,3.69
13,51.16,1.58
12,49.58,2.55
11,47.03,7.62
10,39.41,7.41
9,32,5.69
8,26.31,3.91
7,22.4,2.02
6,20.38,4.66
5,15.72,2.46
4,13.26,0.54
3,12.72,4.3
2,8.42,3.7
15,60,3.63
14,56.37,4.86
13,51.51,4.89
12,46.62,5.55
11,41.07,3.55
10,37.52,7.41
9,30.11,1.31
8,28.8,0.92
7,27.88,4.78
6,23.1,6.06
5,17.04,1.25
4,15.79,0.39
3,15.4,6.39
2,9.01,5.99
15,60,1.57
14,58.43,7.73
13,50.7,0.39
12,50.31,1.61
11,48.7,7.38
10,41.32,4.34
9,36.98,3.66
8,33.32,4.03
7,29.29,0.41
6,28.88,2.66
5,26.22,6.31
4,19.91,7.89
3,12.02,7.94
2,4.08,1.92
15,60,2.74
14,57.26,6.6
13,50.66,7.18
12,43.48,1.96
11,41.52,0.38
10,41.14,5.76
9,35.38,1.71
8,33.67,2.48
7,31.19,0.46
6,30.73,7.82
5,22.91,6.35
4,16.56,0.66
3,15.9,4.02
2,11.88,9.45
15,60,1.32
14,58.68,3.61
13,55.07,7.03
12,48.04,7
11,41.04,1.49
10,39.55,4.52
9,35.03,2.39
8,32.64,7.45
7,25.19,5.21
6,19.98,3.56
5,16.42,4.07
4,12.35,3.85
3,8.5,2.74
2,5.76,1.93
15,60,4.3
14,55.7,0.39
13,55.31,4.4
12,50.91,0.97
11,49.94,5.85
10,44.09,8.27
9,35.82,7.76
8,28.06,5.27
7,22.79,1.8
6,20.99,4.82
5,16.17,6.23
4,9.94,3.09
3,6.85,1.35
2,5.5,3.08
15,60,5.49
14,54.51,1.94
13,52.57,3.32
12,49.25,4.34
11,44.91,5.76
10,39.15,0.52
9,38.63,0.57
8,38.06,5.68
7,32.38,6.01
6,26.37,3.5
5,22.87,7.53
4,15.34,5.54
3,9.8,5.85
2,3.95,2.77
15,60,3.39
14,56.61,6.08
13,50.53,7.73
12,42.8,0.92
11,41.88,1.36
10,40.52,0.9
9,39.62,2.13
8,37.49,5.32
7,32.17,1.96
6,30.21,5.05
5,25.16,8.93
4,16.23,2.32
3,13.91,0.81
2,13.1,7.31
15,60,2.91
14,57.09,0.78
13,56.31,1.48
12,54.83,8.61
11,46.22,4.1
10,42.12,2.29
9,39.83,2.18
8,37.65,3.18
7,34.47,6.27
6,28.2,2.69
5,25.51,1.14
4,24.37,3.87
3,20.5,1.36
2,19.14,8.05
15,60,7.47
14,52.53,6.72
13,45.81,0.41
12,45.4,0.72
11,44.68,7.86
10,36.82,2.72
9,34.1,5.32
8,28.78,6.02
7,22.76,1.56
6,21.2,5.23
5,15.97,1.9
4,14.07,5.45
3,8.62,2.41
2,6.21,5.3
15,60,4.17
14,55.83,7.94
13,47.89,0.69
12,47.2,6.98
11,40.22,5.02
10,35.2,5.55
9,29.65,1.2
8,28.45,2.1
7,26.35,1.14
6,25.21,1.69
5,23.52,8.73
4,14.79,4.47
3,10.32,4.43
2,5.89,3.27
15,60,5.58
14,54.42,0.38
13,54.04,7.66
12,46.38,6.95
11,39.43,0.35
10,39.08,6.93
9,32.15,3.17
8,28.98,4.41
7,24.57,3.77
6,20.8,5.15
5,15.65,5.76
4,9.89,2.05
3,7.84,3.53
2,4.31,3.01
15,60,3.29
14,56.71,7.19
13,49.52,3.18
12,46.34,0.64
11,45.7,2.65
10,43.05,1.9
9,41.15,5.73
8,35.42,8.08
7,27.34,5.03
6,22.31,1.15
5,21.16,1.96
4,19.2,0.96
3,18.24,11.71
2,6.53,1.48
15,60,1.28
